#       x               y          id          logage      logmass   FWHM(pc)
      6667.21      4932.64      128875.      8.31000      5.50000      9.48909
      5486.13      5174.15      135241.      8.06000      4.80000      4.67110
      7780.22      5363.77      140460.      8.41000      5.10000      4.67110
      6130.65      5373.61      140745.      8.26000      5.10000      4.61235
      4916.65      5420.35      142108.      8.06000      5.10000     0.910718
      4734.06      5753.54      151353.      8.06000      4.90000      7.31512
      2681.42      5766.46      151755.      8.46000      4.80000      2.52651
      4616.15      5810.97      153092.      8.06000      5.20000      5.72871
      5157.75      5815.89      153238.      8.06000      5.10000      12.7501
      4594.00      5942.64      157100.      8.01000      5.20000      1.05761
      1157.27      5970.97      157930.      8.36000      5.30000      4.90613
      2667.02      6050.64      160438.      8.06000      5.10000      14.4246
      3961.99      6262.40      166907.      8.06000      5.10000      4.17168
      6808.32      6268.49      167150.      8.06000      4.80000      3.96603
      5057.54      6525.24      175371.      8.36000      4.80000      3.93665
      2381.05      6543.64      175914.      8.31000      4.90000      9.51847
      791.060      6679.37      179887.      8.01000      5.20000      1.38077
      6289.63      6692.72      180325.      8.06000      5.00000      5.93436
      4567.70      6772.13      182714.      8.06000      5.10000      10.3117
      821.720      6946.29      188185.      8.01000      4.80000      10.3117
      1488.77      7004.57      190224.      8.01000      5.10000      4.08354
      980.060      7497.73      205091.      8.36000      4.90000      4.78861
      3224.86      8384.98      217957.      8.01000      4.90000      3.43723
      3776.95      8473.58      218494.      8.01000      5.00000      11.1930
      2330.00      9386.39      223334.      8.06000      5.60000      4.70048
      3112.12      1166.81      17558.0      8.46000      4.70000      1.61579
      4317.87      1403.29      24356.0      8.41000      4.80000      1.79206
      4983.66      1443.63      25647.0      7.96000      4.70000      9.87101
      3808.52      1679.07      33486.0      8.36000      4.70000      3.11407
      6805.56      1937.04      41886.0      8.06000      4.60000      1.67455
      5162.57      1984.58      43326.0      8.06000      4.50000      2.49713
      2281.84      2078.00      45831.0      8.06000      4.60000      6.22814
      3061.74      2153.85      47836.0      7.96000      4.70000      4.43608
      3183.67      2154.75      47863.0      8.31000      4.70000      10.6348
      5364.45      2175.24      48422.0      8.06000      4.60000      1.76268
      6104.68      2208.03      49375.0      8.06000      4.80000      7.08010
      5457.40      2228.47      49935.0      7.91000      4.80000      4.37732
      3946.88      2325.88      53067.0      7.96000      4.70000      4.11292
      5678.81      2333.30      53312.0      8.36000      4.60000      9.07780
      5736.72      2413.54      56117.0      8.06000      4.50000      6.31627
      4336.13      2471.09      57972.0      8.41000      4.60000      5.96373
      3494.92      2528.81      59882.0      8.01000      4.50000      5.25866
      3390.76      2536.30      60125.0      7.96000      4.80000      3.64287
      3184.72      2578.32      61541.0      8.36000      4.60000      17.7149
