#surfdensity	eff
58.29152679	0.00681642
66.07714081	0.00683499
76.42100525	0.00499486
67.87504578	0.00473864
43.31935120	0.00576363
37.62467194	0.00607797
42.83543777	0.00561482
48.37407303	0.00504980
49.16168976	0.00481809
50.27259445	0.00503317
47.68318939	0.00642778
47.40851212	0.00631078
56.20985031	0.00506375
53.94775009	0.00593574
46.12174606	0.00873871
46.43371201	0.00725041
61.42919922	0.00526111
65.19063568	0.00486328
48.99522018	0.00617023
37.33361816	0.00642830
44.35962677	0.00557810
53.72920609	0.00511662
55.94343567	0.00498918
49.73875809	0.00508629
43.76374435	0.00593133
41.52541351	0.00678721
53.91423416	0.00475366
60.65546036	0.00432960
60.74169159	0.00579299
36.27202606	0.00741470
48.56556702	0.00547790
55.25553894	0.00491628
51.01327896	0.00619252
41.12013245	0.00690589
44.57940674	0.00576876
56.54314041	0.00517607
57.94805527	0.00512308
52.15265274	0.00513176
41.95978928	0.00585492
37.14413834	0.00726490
50.87234879	0.00557913
68.83436584	0.00408638
76.33155823	0.00472817
79.91289520	0.00719596
28.10396004	0.00842441
40.12258148	0.00673693
50.12610626	0.00584212
51.93614197	0.00625698
47.77994156	0.00727809
45.16300583	0.00655550
52.78474045	0.00547962
56.16480637	0.00516401
50.87858200	0.00518503
42.43672943	0.00563334
36.83238220	0.00705390
41.69692612	0.00675763
60.28318787	0.00501670
74.76550293	0.00522796
84.29090118	0.00710091
25.71652794	0.00924805
35.93665314	0.00761960
51.19261551	0.00649650
53.79443741	0.00626715
51.92833710	0.00763099
47.48635101	0.00807547
46.81786728	0.00652086
48.86833191	0.00535556
48.85266113	0.00512546
44.36728287	0.00535799
43.52907562	0.00623596
57.92652512	0.00692848
60.94899750	0.00627348
57.85256958	0.00621290
66.91580200	0.00846258
37.45427704	0.00772219
54.15772629	0.00573514
60.66217041	0.00470076
59.90285110	0.00535941
49.48385239	0.00861732
44.50312424	0.00825401
43.03596497	0.00617502
41.41255569	0.00534280
42.18962860	0.00532777
49.55563736	0.00545503
81.41314697	0.00726693
99.40078735	0.00803804
77.68154144	0.00733503
53.33949280	0.00936200
48.32243347	0.00761324
61.03034973	0.00518361
63.23361206	0.00504334
58.65049362	0.00651129
45.99709320	0.00875385
44.27965927	0.00736261
